hu1,hu2,hu3,hu4,hu5,hu6,hu7,etiqueta
0.16140055937655973,0.0003439122061227985,0.00010896810518924003,4.4648431672197875e-07,-1.6990728055237697e-12,-5.019097883293611e-09,2.609971658968886e-12,1
0.1602582245492372,7.058597085207484e-05,8.051154091730039e-05,9.53362812019919e-08,2.6138469799814535e-13,7.954891224280816e-10,-3.7977131302139254e-14,1
0.15951234490820113,6.858435794714201e-05,6.64017709439139e-07,1.2496960559379422e-09,-1.5374414525598836e-17,-6.907555815687627e-12,3.255136165565988e-17,1
0.20017990772077615,0.0032360712923615318,0.0047391016836306425,7.837222605797594e-05,-3.140962937109947e-08,-3.209902943341002e-06,-3.598244151844925e-08,3
0.16050162127814604,0.0003308712001751165,2.2892648374350012e-05,1.0236540489608871e-07,1.129842292048964e-13,1.2003813913789754e-09,-1.0858385264296947e-13,1
0.16003038954710289,0.00010983542381116721,4.362138338366361e-05,6.298978453496451e-08,9.695701888851869e-14,6.348024161814437e-10,-3.874825788182135e-14,1
0.15963054573944718,0.00011664348218497454,1.8280686586867647e-06,1.7245832081920118e-09,-8.853302909811536e-17,-1.4905778184828434e-11,-3.9223634910802583e-17,1
0.16765906802167055,0.0003221083375177024,2.4669738188111704e-06,1.120198835694914e-08,6.481495119869894e-16,-1.9897740478938388e-10,1.745757447429245e-15,2
0.1607357043148182,0.00022861248396980247,7.671501642151585e-05,1.9151397544613407e-07,3.9256035609015194e-13,1.4033502576846363e-09,-6.202931768857775e-13,1
0.19394808595457913,0.0007547970228633531,0.004541999714827209,1.9513327113400096e-05,-4.504542489218858e-09,-4.270685147491943e-07,3.6683178556658383e-09,3
0.16878127413663221,0.0007382492315048303,1.9018566249254345e-06,6.213166408692608e-08,1.079521789217156e-16,-7.085561249995807e-11,-2.1357618153343134e-14,2
0.16007531651861678,0.00010051962695154948,5.186688695776502e-05,7.6585997186307e-08,2.5271298210597074e-14,9.858055681149972e-11,1.5053377018003054e-13,1
0.16933727436687696,0.0008642268154250867,2.123956375397457e-05,5.781058383836264e-07,1.9976759252574887e-12,8.6006035445649e-09,3.3602949106113526e-13,2
0.16282238226756757,0.0007193308213832687,0.00013679410377218616,9.116316731231091e-07,4.4776255356419795e-12,7.94704138663815e-09,-9.142780640883892e-12,1
0.1932779072893665,0.0007223814443214835,0.004435645915030656,1.881245644081947e-05,-4.7587236399191335e-09,-4.53398340277569e-07,2.62423046651446e-09,3
0.1670842303563682,0.00011409959860504085,1.776991943557239e-05,1.370042844502448e-07,-2.0172425557781847e-13,8.768055432473489e-10,-7.074141214379528e-14,2
0.16177606254659554,0.000568980588618319,7.444788398943549e-05,4.036055012901268e-07,-1.5037352896574348e-12,-6.726446317752775e-09,1.622791462323547e-12,1
0.16058685695541808,9.62264055979938e-05,0.00010758883703505267,1.0778686324838878e-07,3.640329287171658e-13,1.0472312026613882e-09,4.701225481061194e-14,1
