hu1,hu2,hu3,hu4,hu5,hu6,hu7,etiqueta
0.15946327672516394,9.753069224562338e-05,3.600960485684784e-10,4.0314163470590574e-13,1.9070657828324162e-24,1.4217096173502005e-15,-4.4672746290996055e-24,1
0.19264006382896898,7.059547322052015e-05,0.0045684638913035215,2.3601377236013233e-06,2.2541404926870508e-10,1.8217485269322102e-08,9.616693221263607e-11,3
0.15931049169391137,4.825571696692347e-05,4.6551635844981005e-10,2.2560046123819215e-13,1.4431871528719496e-24,1.0660194837869311e-15,-1.80618362724764e-24,1
0.19251992852899152,5.1422041031553064e-05,0.0045542295989441026,1.5216636923966469e-06,-1.1906504368068803e-10,-1.027788639696857e-08,4.323967377992776e-11,3
0.1591902808509808,1.0652824385401681e-05,3.6511620607793796e-10,3.766508307953292e-14,-7.864583302941595e-26,-7.073438981491949e-17,1.154314169012565e-25,1
0.1931248260499026,0.0002862713726885172,0.004575885402734861,9.522571024434273e-06,1.6853717968606528e-09,1.3299469244212087e-07,1.05394585278341e-09,3
0.1596285082565911,0.00014948067518122786,2.24477396989132e-09,3.363713138618778e-12,2.68419030854991e-22,3.759921020465033e-14,-1.1569345025342024e-22,1
0.16701195956011888,0.00012173407504948022,5.352286070940652e-31,1.8968829944904607e-30,1.836950520774097e-60,1.9549897855585765e-32,5.279276673320257e-61,2
0.15918631957175217,8.986607970232926e-06,1.2058436749009703e-09,3.512840366083325e-14,1.9636579293847992e-25,7.04904199287646e-17,-1.1709880741125804e-25,1
0.15939922887219568,7.698905240082114e-05,6.114389444367049e-10,4.3983567446518007e-13,-4.275628601166167e-24,-2.181649758873367e-15,5.8090860727618624e-24,1
0.1667820100814271,3.779242269457732e-05,1.4303381153137152e-30,1.0556399692365707e-30,7.30345837134091e-61,-5.195030366235264e-33,-1.0720146943744197e-60,2
0.1924590087185073,1.4764123858675276e-05,0.004557119484145174,4.3287214231281416e-07,-1.1429750297268547e-11,-1.0599237391585513e-09,1.5459385786346074e-11,3
0.19271558101378322,0.0001062253245475183,0.004567859029907543,3.0821249436942062e-06,-3.6569756541821647e-10,-3.1761613095920614e-08,-2.436312281457235e-12,3
